skeleton	glycans	primary_class	oversized	unsaturated	open_chain	polyol	undersized	no_anomeric	unknown_stereo	nC	first	last
a21xxA	1	standard	0	0	0	0	0	0	1	6	SZX_ANOMER	SZ2_ACID_U
a221Xm	1	standard	0	0	0	0	0	0	1	6	SZX_ANOMER	SZ3_METHYL_L
a221xA	1	standard	0	0	0	0	0	0	1	6	SZX_ANOMER	SZ2_ACID_U
a221xxh	1	standard	0	0	0	0	0	0	1	7	SZX_ANOMER	SZ3_HYDROXYL
a22211h	1	standard	0	0	0	0	0	0	0	7	SZX_ANOMER	SZ3_HYDROXYL
a222xA	1	standard	0	0	0	0	0	0	1	6	SZX_ANOMER	SZ2_ACID_U
a226h	1	standard	0	0	0	0	0	0	0	5	SZX_ANOMER	SZ3_HYDROXYL
a22d2m	1	standard	0	0	0	0	0	0	0	6	SZX_ANOMER	SZ3_METHYL_L
a22dxm	1	standard	0	0	0	0	0	0	1	6	SZX_ANOMER	SZ3_METHYL_L
a22x2m	1	standard	0	0	0	0	0	0	1	6	SZX_ANOMER	SZ3_METHYL_L
a22xxm	1	standard	0	0	0	0	0	0	1	6	SZX_ANOMER	SZ3_METHYL_L
a2dx2h	1	standard	0	0	0	0	0	0	1	6	SZX_ANOMER	SZ3_HYDROXYL
a2x11A	1	standard	0	0	0	0	0	0	1	6	SZX_ANOMER	SZ2_ACID_U
a2x1m	1	standard	0	0	0	0	0	0	1	5	SZX_ANOMER	SZ3_METHYL_L
a2x22m	1	standard	0	0	0	0	0	0	1	6	SZX_ANOMER	SZ3_METHYL_L
a2xd1m	1	standard	0	0	0	0	0	0	1	6	SZX_ANOMER	SZ3_METHYL_L
a2xd2m	1	standard	0	0	0	0	0	0	1	6	SZX_ANOMER	SZ3_METHYL_L
a2xx2m	1	standard	0	0	0	0	0	0	1	6	SZX_ANOMER	SZ3_METHYL_L
a2xxm	1	standard	0	0	0	0	0	0	1	5	SZX_ANOMER	SZ3_METHYL_L
ad112A	1	standard	0	0	0	0	0	0	0	6	SZX_ANOMER	SZ2_ACID_U
ad121A	1	standard	0	0	0	0	0	0	0	6	SZX_ANOMER	SZ2_ACID_U
ad12xA	1	standard	0	0	0	0	0	0	1	6	SZX_ANOMER	SZ2_ACID_U
ad1d1m	1	standard	0	0	0	0	0	0	0	6	SZX_ANOMER	SZ3_METHYL_L
ad1x1m	1	standard	0	0	0	0	0	0	1	6	SZX_ANOMER	SZ3_METHYL_L
ad1x2m	1	standard	0	0	0	0	0	0	1	6	SZX_ANOMER	SZ3_METHYL_L
ad211A	1	standard	0	0	0	0	0	0	0	6	SZX_ANOMER	SZ2_ACID_U
ad212A	1	standard	0	0	0	0	0	0	0	6	SZX_ANOMER	SZ2_ACID_U
ad2xxh	1	standard	0	0	0	0	0	0	1	6	SZX_ANOMER	SZ3_HYDROXYL
ad522m	1	standard	0	0	0	0	0	0	0	6	SZX_ANOMER	SZ3_METHYL_L
adXxxm	1	standard	0	0	0	0	0	0	1	6	SZX_ANOMER	SZ3_METHYL_L
addO1m	1	standard	0	0	0	0	0	0	0	6	SZX_ANOMER	SZ3_METHYL_L
addx2m	1	standard	0	0	0	0	0	0	1	6	SZX_ANOMER	SZ3_METHYL_L
adx1xA	1	standard	0	0	0	0	0	0	1	6	SZX_ANOMER	SZ2_ACID_U
adx21m	1	standard	0	0	0	0	0	0	1	6	SZX_ANOMER	SZ3_METHYL_L
adx2xA	1	standard	0	0	0	0	0	0	1	6	SZX_ANOMER	SZ2_ACID_U
adxd1m	1	standard	0	0	0	0	0	0	1	6	SZX_ANOMER	SZ3_METHYL_L
ax112A	1	standard	0	0	0	0	0	0	1	6	SZX_ANOMER	SZ2_ACID_U
ax112m	1	standard	0	0	0	0	0	0	1	6	SZX_ANOMER	SZ3_METHYL_L
ax1d2h	1	standard	0	0	0	0	0	0	1	6	SZX_ANOMER	SZ3_HYDROXYL
ax1d2m	1	standard	0	0	0	0	0	0	1	6	SZX_ANOMER	SZ3_METHYL_L
ax1x1h	1	standard	0	0	0	0	0	0	1	6	SZX_ANOMER	SZ3_HYDROXYL
ax1x1m	1	standard	0	0	0	0	0	0	1	6	SZX_ANOMER	SZ3_METHYL_L
ax2dxm	1	standard	0	0	0	0	0	0	1	6	SZX_ANOMER	SZ3_METHYL_L
ax2x1m	1	standard	0	0	0	0	0	0	1	6	SZX_ANOMER	SZ3_METHYL_L
ax2x2m	1	standard	0	0	0	0	0	0	1	6	SZX_ANOMER	SZ3_METHYL_L
ax2xm	1	standard	0	0	0	0	0	0	1	5	SZX_ANOMER	SZ3_METHYL_L
axXxm	1	standard	0	0	0	0	0	0	1	5	SZX_ANOMER	SZ3_METHYL_L
axd11m	1	standard	0	0	0	0	0	0	1	6	SZX_ANOMER	SZ3_METHYL_L
axd1h	1	standard	0	0	0	0	0	0	1	5	SZX_ANOMER	SZ3_HYDROXYL
axd21m	1	standard	0	0	0	0	0	0	1	6	SZX_ANOMER	SZ3_METHYL_L
axdx1m	1	standard	0	0	0	0	0	0	1	6	SZX_ANOMER	SZ3_METHYL_L
axx12A	1	standard	0	0	0	0	0	0	1	6	SZX_ANOMER	SZ2_ACID_U
axx1m	1	standard	0	0	0	0	0	0	1	5	SZX_ANOMER	SZ3_METHYL_L
axx1x1h	1	standard	0	0	0	0	0	0	1	7	SZX_ANOMER	SZ3_HYDROXYL
axx211h	1	standard	0	0	0	0	0	0	1	7	SZX_ANOMER	SZ3_HYDROXYL
axx2A	1	standard	0	0	0	0	0	0	1	5	SZX_ANOMER	SZ2_ACID_U
axxOxm	1	standard	0	0	0	0	0	0	1	6	SZX_ANOMER	SZ3_METHYL_L
axxh	1	undersized	0	0	0	0	1	0	1	4	SZX_ANOMER	SZ3_HYDROXYL
h1112m	1	polyol	0	0	0	1	0	1	0	6	SZ3_HYDROXYL	SZ3_METHYL_L
h1212h	1	polyol	0	0	0	1	0	1	0	6	SZ3_HYDROXYL	SZ3_HYDROXYL
h1O21h	1	no_anomeric_other	0	0	0	0	0	1	0	6	SZ3_HYDROXYL	SZ3_HYDROXYL
h1O22h	1	no_anomeric_other	0	0	0	0	0	1	0	6	SZ3_HYDROXYL	SZ3_HYDROXYL
h1a21h	1	standard	0	0	0	0	0	0	0	6	SZ3_HYDROXYL	SZ3_HYDROXYL
h1a22h	1	standard	0	0	0	0	0	0	0	6	SZ3_HYDROXYL	SZ3_HYDROXYL
h1x2h	1	polyol	0	0	0	1	0	1	1	5	SZ3_HYDROXYL	SZ3_HYDROXYL
h2212h	1	polyol	0	0	0	1	0	1	0	6	SZ3_HYDROXYL	SZ3_HYDROXYL
h2O12h	1	no_anomeric_other	0	0	0	0	0	1	0	6	SZ3_HYDROXYL	SZ3_HYDROXYL
h2O22h	1	no_anomeric_other	0	0	0	0	0	1	0	6	SZ3_HYDROXYL	SZ3_HYDROXYL
h2Xh	1	polyol	0	0	0	1	1	1	1	4	SZ3_HYDROXYL	SZ3_HYDROXYL
h2a22h	1	standard	0	0	0	0	0	0	0	6	SZ3_HYDROXYL	SZ3_HYDROXYL
h2x1h	1	polyol	0	0	0	1	0	1	1	5	SZ3_HYDROXYL	SZ3_HYDROXYL
hO111h	1	no_anomeric_other	0	0	0	0	0	1	0	6	SZ3_HYDROXYL	SZ3_HYDROXYL
hO111m	1	no_anomeric_other	0	0	0	0	0	1	0	6	SZ3_HYDROXYL	SZ3_METHYL_L
hO1122h	1	no_anomeric_other	0	0	0	0	0	1	0	7	SZ3_HYDROXYL	SZ3_HYDROXYL
hO112m	1	no_anomeric_other	0	0	0	0	0	1	0	6	SZ3_HYDROXYL	SZ3_METHYL_L
hO122m	1	no_anomeric_other	0	0	0	0	0	1	0	6	SZ3_HYDROXYL	SZ3_METHYL_L
hO12xh	1	no_anomeric_other	0	0	0	0	0	1	1	6	SZ3_HYDROXYL	SZ3_HYDROXYL
hO2111h	1	no_anomeric_other	0	0	0	0	0	1	0	7	SZ3_HYDROXYL	SZ3_HYDROXYL
hO211h	1	no_anomeric_other	0	0	0	0	0	1	0	6	SZ3_HYDROXYL	SZ3_HYDROXYL
hO212m	1	no_anomeric_other	0	0	0	0	0	1	0	6	SZ3_HYDROXYL	SZ3_METHYL_L
hO222m	1	no_anomeric_other	0	0	0	0	0	1	0	6	SZ3_HYDROXYL	SZ3_METHYL_L
ha1122h	1	standard	0	0	0	0	0	0	0	7	SZ3_HYDROXYL	SZ3_HYDROXYL
ha11xm	1	standard	0	0	0	0	0	0	1	6	SZ3_HYDROXYL	SZ3_METHYL_L
ha1221h	1	standard	0	0	0	0	0	0	0	7	SZ3_HYDROXYL	SZ3_HYDROXYL
ha1x2m	1	standard	0	0	0	0	0	0	1	6	SZ3_HYDROXYL	SZ3_METHYL_L
ha2122h	1	standard	0	0	0	0	0	0	0	7	SZ3_HYDROXYL	SZ3_HYDROXYL
ha212m	1	standard	0	0	0	0	0	0	0	6	SZ3_HYDROXYL	SZ3_METHYL_L
hax12m	1	standard	0	0	0	0	0	0	1	6	SZ3_HYDROXYL	SZ3_METHYL_L
hax21m	1	standard	0	0	0	0	0	0	1	6	SZ3_HYDROXYL	SZ3_METHYL_L
haxx1m	1	standard	0	0	0	0	0	0	1	6	SZ3_HYDROXYL	SZ3_METHYL_L
hxxm	1	polyol	0	0	0	1	1	1	1	4	SZ3_HYDROXYL	SZ3_METHYL_L
hxxxh	1	polyol	0	0	0	1	0	1	1	5	SZ3_HYDROXYL	SZ3_HYDROXYL
hxxxxm	1	polyol	0	0	0	1	0	1	1	6	SZ3_HYDROXYL	SZ3_METHYL_L
ma111m	1	standard	0	0	0	0	0	0	0	6	SZ3_METHYL_L	SZ3_METHYL_L
ma121m	1	standard	0	0	0	0	0	0	0	6	SZ3_METHYL_L	SZ3_METHYL_L
ma221m	1	standard	0	0	0	0	0	0	0	6	SZ3_METHYL_L	SZ3_METHYL_L
ma2xxm	1	standard	0	0	0	0	0	0	1	6	SZ3_METHYL_L	SZ3_METHYL_L
maxx1m	1	standard	0	0	0	0	0	0	1	6	SZ3_METHYL_L	SZ3_METHYL_L
o1111h	1	open_chain	0	0	1	0	0	1	0	6	SZ2_ALDEHYDE	SZ3_HYDROXYL
o111h	1	open_chain	0	0	1	0	0	1	0	5	SZ2_ALDEHYDE	SZ3_HYDROXYL
o1121A	1	open_chain	0	0	1	0	0	1	0	6	SZ2_ALDEHYDE	SZ2_ACID_U
o1121h	1	open_chain	0	0	1	0	0	1	0	6	SZ2_ALDEHYDE	SZ3_HYDROXYL
o1122A	1	open_chain	0	0	1	0	0	1	0	6	SZ2_ALDEHYDE	SZ2_ACID_U
o112h	1	open_chain	0	0	1	0	0	1	0	5	SZ2_ALDEHYDE	SZ3_HYDROXYL
o11h	1	open_chain	0	0	1	0	1	1	0	4	SZ2_ALDEHYDE	SZ3_HYDROXYL
o1211A	1	open_chain	0	0	1	0	0	1	0	6	SZ2_ALDEHYDE	SZ2_ACID_U
o1211h	1	open_chain	0	0	1	0	0	1	0	6	SZ2_ALDEHYDE	SZ3_HYDROXYL
o1211m	1	open_chain	0	0	1	0	0	1	0	6	SZ2_ALDEHYDE	SZ3_METHYL_L
o1212A	1	open_chain	0	0	1	0	0	1	0	6	SZ2_ALDEHYDE	SZ2_ACID_U
o1212h	1	open_chain	0	0	1	0	0	1	0	6	SZ2_ALDEHYDE	SZ3_HYDROXYL
o1212m	1	open_chain	0	0	1	0	0	1	0	6	SZ2_ALDEHYDE	SZ3_METHYL_L
o121h	1	open_chain	0	0	1	0	0	1	0	5	SZ2_ALDEHYDE	SZ3_HYDROXYL
o1221A	1	open_chain	0	0	1	0	0	1	0	6	SZ2_ALDEHYDE	SZ2_ACID_U
o1221m	1	open_chain	0	0	1	0	0	1	0	6	SZ2_ALDEHYDE	SZ3_METHYL_L
o1222m	1	open_chain	0	0	1	0	0	1	0	6	SZ2_ALDEHYDE	SZ3_METHYL_L
o1522m	1	open_chain	0	0	1	0	0	1	0	6	SZ2_ALDEHYDE	SZ3_METHYL_L
o1Xh	1	open_chain	0	0	1	0	1	1	1	4	SZ2_ALDEHYDE	SZ3_HYDROXYL
o1d21m	1	open_chain	0	0	1	0	0	1	0	6	SZ2_ALDEHYDE	SZ3_METHYL_L
o1d22m	1	open_chain	0	0	1	0	0	1	0	6	SZ2_ALDEHYDE	SZ3_METHYL_L
o2111h	1	open_chain	0	0	1	0	0	1	0	6	SZ2_ALDEHYDE	SZ3_HYDROXYL
o2111m	1	open_chain	0	0	1	0	0	1	0	6	SZ2_ALDEHYDE	SZ3_METHYL_L
o2112A	1	open_chain	0	0	1	0	0	1	0	6	SZ2_ALDEHYDE	SZ2_ACID_U
o211h	1	open_chain	0	0	1	0	0	1	0	5	SZ2_ALDEHYDE	SZ3_HYDROXYL
o2121h	1	open_chain	0	0	1	0	0	1	0	6	SZ2_ALDEHYDE	SZ3_HYDROXYL
o2121m	1	open_chain	0	0	1	0	0	1	0	6	SZ2_ALDEHYDE	SZ3_METHYL_L
o212A	1	open_chain	0	0	1	0	0	1	0	5	SZ2_ALDEHYDE	SZ2_ACID_U
o21O2h	1	open_chain	0	0	1	0	0	1	0	6	SZ2_ALDEHYDE	SZ3_HYDROXYL
o21d2h	1	open_chain	0	0	1	0	0	1	0	6	SZ2_ALDEHYDE	SZ3_HYDROXYL
o21h	1	open_chain	0	0	1	0	1	1	0	4	SZ2_ALDEHYDE	SZ3_HYDROXYL
o22112h	1	open_chain	0	0	1	0	0	1	0	7	SZ2_ALDEHYDE	SZ3_HYDROXYL
o2211A	1	open_chain	0	0	1	0	0	1	0	6	SZ2_ALDEHYDE	SZ2_ACID_U
o2211m	1	open_chain	0	0	1	0	0	1	0	6	SZ2_ALDEHYDE	SZ3_METHYL_L
o2212A	1	open_chain	0	0	1	0	0	1	0	6	SZ2_ALDEHYDE	SZ2_ACID_U
o2212h	1	open_chain	0	0	1	0	0	1	0	6	SZ2_ALDEHYDE	SZ3_HYDROXYL
o2212m	1	open_chain	0	0	1	0	0	1	0	6	SZ2_ALDEHYDE	SZ3_METHYL_L
o221Xm	1	open_chain	0	0	1	0	0	1	1	6	SZ2_ALDEHYDE	SZ3_METHYL_L
