skeleton	glycans	rescodes	nC	first	last	nAnomer	nStereoDef	nStereoUnk	nDeoxy	nUndef	nCarbonyl	nAcid	nDouble	nTriple	nSP3	nSP2	nSP	nSPX	unknownChars
a1xxxh	44	20	6	SZX_ANOMER	SZ3_HYDROXYL	1	1	3	0	0	0	0	0	0	6	0	0	0	-
a2212m	44	18	6	SZX_ANOMER	SZ3_METHYL_L	1	4	0	1	0	0	0	0	0	6	0	0	0	-
axdxxh	44	33	6	SZX_ANOMER	SZ3_HYDROXYL	1	0	3	1	0	0	0	0	0	6	0	0	0	-
axx11h	44	8	6	SZX_ANOMER	SZ3_HYDROXYL	1	2	2	0	0	0	0	0	0	6	0	0	0	-
o2122h	44	17	6	SZ2_ALDEHYDE	SZ3_HYDROXYL	0	4	0	0	0	1	0	0	0	5	1	0	0	-
ax1x2h	42	18	6	SZX_ANOMER	SZ3_HYDROXYL	1	2	2	0	0	0	0	0	0	6	0	0	0	-
a2111A	41	11	6	SZX_ANOMER	SZ2_ACID_U	1	4	0	0	0	0	1	0	0	5	1	0	0	-
a2d22m	41	15	6	SZX_ANOMER	SZ3_METHYL_L	1	3	0	2	0	0	0	0	0	6	0	0	0	-
ax22xA	41	7	6	SZX_ANOMER	SZ2_ACID_U	1	2	2	0	0	0	1	0	0	5	1	0	0	-
h22h	40	4	4	SZ3_HYDROXYL	SZ3_HYDROXYL	0	2	0	0	0	0	0	0	0	4	0	0	0	-
a21d2m	39	24	6	SZX_ANOMER	SZ3_METHYL_L	1	3	0	2	0	0	0	0	0	6	0	0	0	-
a2222A	39	10	6	SZX_ANOMER	SZ2_ACID_U	1	4	0	0	0	0	1	0	0	5	1	0	0	-
ad21h	39	22	5	SZX_ANOMER	SZ3_HYDROXYL	1	2	0	1	0	0	0	0	0	5	0	0	0	-
add21m	39	9	6	SZX_ANOMER	SZ3_METHYL_L	1	2	0	3	0	0	0	0	0	6	0	0	0	-
a2d2h	37	26	5	SZX_ANOMER	SZ3_HYDROXYL	1	2	0	1	0	0	0	0	0	5	0	0	0	-
ad212m	37	28	6	SZX_ANOMER	SZ3_METHYL_L	1	3	0	2	0	0	0	0	0	6	0	0	0	-
ha111h	37	14	6	SZ3_HYDROXYL	SZ3_HYDROXYL	1	3	0	0	0	0	0	0	0	6	0	0	0	-
