map	glycans	rescodes	nAtom	nC	nO	nN	nS	nP	nHal	nAromAtom	nRing	nAromRing	ringSizes	nCarbonyl	nEsterC	maxChainC	attach
*NCC/3=O	56026	3203	4	2	1	1	0	0	0	0	0	0	-	1	0	2	N
*OCC/3=O	23318	10718	4	2	2	0	0	0	0	0	0	0	-	1	1	2	O
*OC(CCCCCC$4)	18535	7672	8	7	1	0	0	0	0	6	1	1	6	0	0	1	O
*OC(CCCCCC$4)/3=O	10627	4980	9	7	2	0	0	0	0	6	1	1	6	1	1	1	O
*OC	10093	5298	2	1	1	0	0	0	0	0	0	0	-	0	0	1	O
*OSO/3=O/3=O	8159	1520	5	0	4	0	1	0	0	0	0	0	-	0	0	0	O
*N	7356	2603	1	0	0	1	0	0	0	0	0	0	-	0	0	0	N
*OPO/3O/3=O	2679	1168	5	0	4	0	0	1	0	0	0	0	-	0	0	0	O
*F	1673	1474	1	0	0	0	0	0	1	0	0	0	-	0	0	0	F
*C	1630	1334	1	1	0	0	0	0	0	0	0	0	-	0	0	1	C
*NCCO/3=O	1460	129	5	2	2	1	0	0	0	0	0	0	-	1	0	2	N
*OCCCC	1302	1006	5	4	1	0	0	0	0	0	0	0	-	0	0	4	O
*OCCC/4C/4C/3=O	1194	779	7	5	2	0	0	0	0	0	0	0	-	1	1	3	O
*NSO/3=O/3=O	1188	195	5	0	3	1	1	0	0	0	0	0	-	0	0	0	N
*OCC=C	925	644	4	3	1	0	0	0	0	0	0	0	-	0	0	3	O
*OP^XOCCNC/7C/7C/3O/3=O	899	751	11	5	4	1	0	1	0	0	0	0	-	0	0	2	O
*OS(CCCCCC$4/7)C/3=O/3=O	829	791	11	7	3	0	1	0	0	6	1	1	6	0	0	1	O
*OSC/3=O/3=O	716	703	5	1	3	0	1	0	0	0	0	0	-	0	0	1	O
*OCCCCCCCCCCCCCCCC/3=O	675	548	18	16	2	0	0	0	0	0	0	0	-	1	1	16	O
*Cl	605	513	1	0	0	0	0	0	1	0	0	0	-	0	0	0	Cl
*OP^XOCCN/3O/3=O	602	159	8	2	4	1	0	1	0	0	0	0	-	0	0	2	O
*OC(CCCCCC$4/7)OC	588	500	10	8	2	0	0	0	0	6	1	1	6	0	0	1	O
*OC(CCCCCC$4)/3(CCCCCC$10)/3(CCCCCC$16)	567	528	20	19	1	0	0	0	0	18	3	3	6,6,6	0	0	1	O
*I	541	489	1	0	0	0	0	0	1	0	0	0	-	0	0	0	I
*OCCCCCCCCCCCCCCCCCC/3=O	518	432	20	18	2	0	0	0	0	0	0	0	-	1	1	18	O
*OC(CCCCCC$4/8)O(/7)O(/6)O/3=O	499	434	12	7	5	0	0	0	0	6	1	1	6	1	1	1	O
*OCCCC/3=O	471	418	6	4	2	0	0	0	0	0	0	0	-	1	1	4	O
*Br	454	392	1	0	0	0	0	0	1	0	0	0	-	0	0	0	Br
*OCC	438	364	3	2	1	0	0	0	0	0	0	0	-	0	0	2	O
*OCCCCCCCCC=^ZCCCCCCCCC/3=O	427	366	20	18	2	0	0	0	0	0	0	0	-	1	1	18	O
*NC(CCCCCC$4)/3=O	420	402	9	7	1	1	0	0	0	6	1	1	6	1	0	1	N
*OCCC/3=O	390	347	5	3	2	0	0	0	0	0	0	0	-	1	1	3	O
*S	375	272	1	0	0	0	1	0	0	0	0	0	-	0	0	0	S
*NC	342	259	2	1	0	1	0	0	0	0	0	0	-	0	0	1	N
*OCCCCCCCCCCCCCC/3=O	342	311	16	14	2	0	0	0	0	0	0	0	-	1	1	14	O
*NCCF/4F/4F/3=O	325	304	7	2	1	1	0	0	3	0	0	0	-	1	0	2	N
*NC/2C	324	215	3	2	0	1	0	0	0	0	0	0	-	0	0	1	N
*OCCCCCCCCC=^ZCCC=^ZCCCCCC/3=O	274	231	20	18	2	0	0	0	0	0	0	0	-	1	1	18	O
*OC(CCCCCC$4/7)C/3=O	266	225	10	8	2	0	0	0	0	6	1	1	6	1	1	1	O
*OCC/3C	264	247	4	3	1	0	0	0	0	0	0	0	-	0	0	3	O
*OCCC/4C/3=O	263	179	6	4	2	0	0	0	0	0	0	0	-	1	1	3	O
*OCCCCCCCCCCCC/3=O	249	181	14	12	2	0	0	0	0	0	0	0	-	1	1	12	O
*NCOC(CCCCCC$6)/3=O	222	194	11	8	2	1	0	0	0	6	1	1	6	1	1	1	N
*SO/2=O/2=O	216	103	4	0	3	0	1	0	0	0	0	0	-	0	0	0	S
*OSCF/4F/4F/3=O/3=O	208	198	8	1	3	0	1	0	3	0	0	0	-	0	0	1	O
*OCCCl/3=O	206	172	5	2	2	0	0	0	1	0	0	0	-	1	1	2	O
*OCCCCCCCCC=^ZCCCCCCC/3=O	199	183	18	16	2	0	0	0	0	0	0	0	-	1	1	16	O
*OCCCCCCCC/3=O	190	150	10	8	2	0	0	0	0	0	0	0	-	1	1	8	O
*OCCCCCCCCCCC=^ZCCCCCCC/3=O	186	158	20	18	2	0	0	0	0	0	0	0	-	1	1	18	O
*NC=O	184	72	3	1	1	1	0	0	0	0	0	0	-	1	0	1	N
*NC^S(CCCCCC$4)/3C	183	177	9	8	0	1	0	0	0	6	1	1	6	0	0	2	N
*NCCNCC$2/5C	174	135	7	5	0	2	0	0	0	0	1	0	6	0	0	1	N
*OCCCCCCCCCC/3=O	170	128	12	10	2	0	0	0	0	0	0	0	-	1	1	10	O
*OP^XOP^XOCCN/5O/5=O/3O/3=O	170	14	12	2	7	1	0	2	0	0	0	0	-	0	0	2	O
*CO	164	90	2	1	1	0	0	0	0	0	0	0	-	0	0	1	C
*NC^R(CCCCCC$4)/3C	162	156	9	8	0	1	0	0	0	6	1	1	6	0	0	2	N
*NCOCCCl/6Cl/6Cl/3=O	161	114	9	3	2	1	0	0	3	0	0	0	-	1	1	2	N
*OC=O	159	139	3	1	2	0	0	0	0	0	0	0	-	1	1	1	O
*OCCCCC/6=O/3=O	158	133	8	5	3	0	0	0	0	0	0	0	-	2	1	5	O
*OCCCCCC/3=O	158	117	8	6	2	0	0	0	0	0	0	0	-	1	1	6	O
*OCCC	155	141	4	3	1	0	0	0	0	0	0	0	-	0	0	3	O
*(CCCCCC$2/5)O(/4)O	154	62	8	6	2	0	0	0	0	6	1	1	6	0	0	0	C
*N(CCCCCN$3)	154	4	7	5	0	2	0	0	0	6	1	1	6	0	0	0	N
*NCCCCC$2	154	137	6	5	0	1	0	0	0	0	1	0	6	0	0	0	N
*OC(CCCCCC$4/7)OC/3=O	154	113	11	8	3	0	0	0	0	6	1	1	6	1	1	1	O
*NC(CCCCCC$4/5)CC$2	151	123	10	9	0	1	0	0	0	6	2	1	6,6	0	0	0	N
*OCCCCCCCC	151	119	9	8	1	0	0	0	0	0	0	0	-	0	0	8	O
*NCCOCC$2	148	134	6	4	1	1	0	0	0	0	1	0	6	0	0	0	N
*OCCCCC=^ZCCC=^ZCCC=^ZCCC=^ZCCCCCC/3=O	147	137	22	20	2	0	0	0	0	0	0	0	-	1	1	20	O
*1O(CCCCCC$3/7)O(/5)O(/4)*2	146	99	9	6	3	0	0	0	0	6	1	1	6	0	0	0	O
*N=^XCC/3O	144	6	4	2	1	1	0	0	0	0	0	0	-	0	0	2	N
*OCC=^EC(CCCCCC$6/9)O(/8)OC/3=O	144	92	14	10	4	0	0	0	0	6	1	1	6	1	1	3	O
*NCCNCCCCC$5	138	127	9	7	0	2	0	0	0	0	1	0	6	0	0	2	N
*OCCCCCCCCC=^ZCCC=^ZCCC=^ZCCC/3=O	135	124	20	18	2	0	0	0	0	0	0	0	-	1	1	18	O
*1O(CCCCCC$3/6)NCCNC/12C/10=O(/4)*2	132	132	14	10	2	2	0	0	0	6	1	1	6	1	0	2	O
*OCN/3=O	129	108	4	1	2	1	0	0	0	0	0	0	-	1	1	1	O
*1O(CCCCCC$3/6)NCCOC/10=O(/4)*2	127	127	13	9	3	1	0	0	0	6	1	1	6	1	0	2	O
*NC(CCCCCC$4/5)OC	127	115	10	8	1	1	0	0	0	6	1	1	6	0	0	1	N
*1O(CCCCCC$3/6)NC(CCCCCC$11/14)OCO($13/4)*2/10=O	126	126	19	14	4	1	0	0	0	12	3	2	5,6,6	1	0	1	O
*NCCNCCOCC$5/3=O	126	126	10	6	2	2	0	0	0	0	1	0	6	1	0	2	N
*NCC(CCCCCN$5)/3=O	121	121	10	7	1	2	0	0	0	6	1	1	6	1	0	2	N
*OP^XOCC^XC^XCC^RC^X$5/10O/9O/8O/7O/6O/3O/3=O	121	121	16	6	9	0	0	1	0	0	1	0	6	0	0	0	O
*(CCCCCC$2)	120	116	6	6	0	0	0	0	0	6	1	1	6	0	0	0	C
*NC(CCCCCC$4/6)F	118	102	9	7	0	1	0	0	1	6	1	1	6	0	0	1	N
*1O(CCCCCC$3/6)NS(CCCCCC$11/14)F/10=O/10=O(/4)*2	116	116	18	12	3	1	1	0	1	12	2	2	6,6	0	0	0	O
*N(CCCCCCCCCC$7/6CC$3)	116	84	13	12	0	1	0	0	0	12	2	2	6,6	0	0	0	N
*OCCCC/5C/3=O	116	102	7	5	2	0	0	0	0	0	0	0	-	1	1	4	O
*NCCCCCC$3	114	114	7	6	0	1	0	0	0	0	1	0	6	0	0	0	N
*NCC(CCCCCC$5)	113	105	9	8	0	1	0	0	0	6	1	1	6	0	0	2	N
*NCC(CCCNCC$5)	111	86	9	7	0	2	0	0	0	6	1	1	6	0	0	2	N
*NC(CCCCCC$4/7)OCO($6)	109	93	11	8	2	1	0	0	0	6	2	1	5,6	0	0	1	N
*NCCCNCCCCC$6/3=O	108	108	11	8	1	2	0	0	0	0	1	0	6	1	0	3	N
*1O(CCCCCC$3/6)NCN(CCCCCC$12/15)CF/18F/18F/10=O(/4)*2	107	107	21	14	2	2	0	0	3	12	2	2	6,6	1	0	1	O
*OCCCCCCCC=^ZCCC=^ZCCC=^ZCCCCCC/3=O	107	100	22	20	2	0	0	0	0	0	0	0	-	1	1	20	O
*OCCO	107	92	4	2	2	0	0	0	0	0	0	0	-	0	0	2	O
*OCC=^EC(CCCCCC$6/9)O/3=O	106	77	12	9	3	0	0	0	0	6	1	1	6	1	1	3	O
*NCCC	105	98	4	3	0	1	0	0	0	0	0	0	-	0	0	3	N
*NCNCC/5C/3=O	105	105	7	4	1	2	0	0	0	0	0	0	-	1	0	3	N
*OC^RCO/4=O/3C	103	57	6	3	3	0	0	0	0	0	0	0	-	1	1	3	O
*NC(CCCCCC$4/5)F	102	102	9	7	0	1	0	0	1	6	1	1	6	0	0	1	N
*NCCC^RCCCCCCCCCCC/5O/3=O	101	20	17	14	2	1	0	0	0	0	0	0	-	1	0	14	N
*1O(CCCCCC$3/6)NC(CCCCNC$11/4)*2/10=O	100	100	16	12	2	2	0	0	0	12	2	2	6,6	1	0	1	O
*NC(CCCCCC$4/7)Cl	99	86	9	7	0	1	0	0	1	6	1	1	6	0	0	1	N
*NC(CCCCCC$4/7)OCO($6)/3=O	98	98	12	8	3	1	0	0	0	6	2	1	5,6	1	0	1	N
*OCCCCCC=^ZCCC=^ZCCC=^ZCCCCCC/3=O	98	87	20	18	2	0	0	0	0	0	0	0	-	1	1	18	O
*NCCOC	97	90	5	3	1	1	0	0	0	0	0	0	-	0	0	2	N
*OCC=^EC(CCCCCC$6/9)O(/8)O/3=O	97	55	13	9	4	0	0	0	0	6	1	1	6	1	1	3	O
*OCCC^RCCCCCCCCCCC/5O/3=O	97	18	17	14	3	0	0	0	0	0	0	0	-	1	1	14	O
*NC(CCCCCC$4)	95	79	8	7	0	1	0	0	0	6	1	1	6	0	0	1	N
*NCN(CCCCCC$5/9)F(/6)F/3=O	95	95	12	7	1	2	0	0	2	6	1	1	6	1	0	1	N
*NCCC/3=O	94	84	5	3	1	1	0	0	0	0	0	0	-	1	0	3	N
*OCC/3C/3C	94	79	5	4	1	0	0	0	0	0	0	0	-	0	0	3	O
*OCCCCC/3=O	94	94	7	5	2	0	0	0	0	0	0	0	-	1	1	5	O
*SC	94	64	2	1	0	0	1	0	0	0	0	0	-	0	0	1	S
*OCCCCCCCCCCCCCCCCCCCC/3=O	92	92	22	20	2	0	0	0	0	0	0	0	-	1	1	20	O
*OC^XO*/3CO/6=O/3C	92	19	7	3	4	0	0	0	0	0	0	0	-	1	1	3	O
*NS(CCCCCC$4/7)C/3=O/3=O	91	91	11	7	2	1	1	0	0	6	1	1	6	0	0	1	N
*(CCCCCC$2/5)O(/4)OC	89	71	9	7	2	0	0	0	0	6	1	1	6	0	0	1	C
*1O(CCCCCC$3/6)NC/9C(/4)*2	89	89	10	8	1	1	0	0	0	6	1	1	6	0	0	1	O
*NC(CCCCNC$4)/3=O	89	89	9	6	1	2	0	0	0	6	1	1	6	1	0	1	N
*NCCCCCCC$4	88	58	8	7	0	1	0	0	0	0	1	0	6	0	0	1	N
*NC(CCCCCC$4/7)OC	87	87	10	8	1	1	0	0	0	6	1	1	6	0	0	1	N
*OCCCCCCCCCC	86	68	11	10	1	0	0	0	0	0	0	0	-	0	0	10	O
*NC(CCCCCC$4/5)F/3=O	85	85	10	7	1	1	0	0	1	6	1	1	6	1	0	1	N
*OP^XOCC^SCO/7=O/6N/3O/3=O	85	85	11	3	6	1	0	1	0	0	0	0	-	1	1	3	O
*(CCCCCC$2/5)O	84	74	7	6	1	0	0	0	0	6	1	1	6	0	0	0	C
*NCC	84	59	3	2	0	1	0	0	0	0	0	0	-	0	0	2	N
*OCCCCC=^ZCCC=^ZCCC=^ZCCCCCCCCC/3=O	84	78	22	20	2	0	0	0	0	0	0	0	-	1	1	20	O
*NCCN(CCCCCC$6)/5CC$2	82	66	12	10	0	2	0	0	0	6	2	1	6,6	0	0	0	N
*1O(CCCCCC$3/7)O(/4)*2	81	76	8	6	2	0	0	0	0	6	1	1	6	0	0	0	O
*NC(CCCCCC$4/7)F/3=O	81	81	10	7	1	1	0	0	1	6	1	1	6	1	0	1	N
*1O(CCCCCC$3/6)NCN(CCCCCC$12/13)F/10=O(/4)*2	80	80	18	13	2	2	0	0	1	12	2	2	6,6	1	0	1	O
*NS(CCCCCC$4/7)F/3=O/3=O	80	80	11	6	2	1	1	0	1	6	1	1	6	0	0	0	N
*1O(CCCCCC$3/6)NCN(CCCCCC$12/15)OC/10=O(/4)*2	79	79	19	14	3	2	0	0	0	12	2	2	6,6	1	0	1	O
*NC(CCNCCN$4)/3=O	79	79	9	5	1	3	0	0	0	6	1	1	6	1	0	1	N
*NCN(CCCCCC$5/8)CF/11F/11F/3=O	79	79	14	8	1	2	0	0	3	6	1	1	6	1	0	1	N
*OCCCCCCCCCCC=^ZCCC=^ZCCCCCC/3=O	79	79	22	20	2	0	0	0	0	0	0	0	-	1	1	20	O
*OCCCCCCCCCCC=^ZCCCCCCCCC/3=O	78	78	22	20	2	0	0	0	0	0	0	0	-	1	1	20	O
*NC(CCCCCC$4/7)O(CCCCCC$11)	77	72	15	13	1	1	0	0	0	12	2	2	6,6	0	0	1	N
*NCCCNC/6C	77	72	7	5	0	2	0	0	0	0	0	0	-	0	0	3	N
*NC(CCCCCN$4)	76	76	8	6	0	2	0	0	0	6	1	1	6	0	0	1	N
*NC(CCCNCC$4)	76	75	8	6	0	2	0	0	0	6	1	1	6	0	0	1	N
*OCCCCCCCCC=^ZCCCCC/3=O	73	73	16	14	2	0	0	0	0	0	0	0	-	1	1	14	O
*1O(CCCCCC$3/6)NCNCCCCC$12/10=O(/4)*2	72	72	16	12	2	2	0	0	0	6	2	1	5,6	1	0	1	O
*1O(CCCCCC$3/6)NS(CCCCCC$11/13)OC/10=O/10=O(/4)*2	71	71	19	13	4	1	1	0	0	12	2	2	6,6	0	0	1	O
*NCCCNCCOCC$6	71	61	10	7	1	2	0	0	0	0	1	0	6	0	0	3	N
*NS(CCCCCC$4)/3=O/3=O	70	70	10	6	2	1	1	0	0	6	1	1	6	0	0	0	N
*O(CCCCCC$3/6)NSC/10=O/10=O(/4)*	70	70	12	7	3	1	1	0	0	6	1	1	6	0	0	1	O
*NC(CCCCCC$4/7)Cl(/6)Cl	69	61	10	7	0	1	0	0	2	6	1	1	6	0	0	1	N
*NCC(CCCCCC$5/6)C$3	69	55	10	9	0	1	0	0	0	6	2	1	5,6	0	0	0	N
*1O(CCCCCC$3/6)NCC(CCCNCC$12/4)*2/10=O	68	68	17	13	2	2	0	0	0	12	2	2	6,6	1	0	2	O
*OCCCCCCCCCCCCCCCC	66	58	17	16	1	0	0	0	0	0	0	0	-	0	0	16	O
*O(CCCCCC$3)	65	64	7	6	1	0	0	0	0	6	1	1	6	0	0	0	O
*NS(CCCCCC$4/6)F/3=O/3=O	64	64	11	6	2	1	1	0	1	6	1	1	6	0	0	0	N
*OCCCCCCCC=^ZCCC=^ZCCC=^ZCCC=^ZCCC/3=O	64	64	22	20	2	0	0	0	0	0	0	0	-	1	1	20	O
*NC(CCCCCC$4/8)F(/5)F	62	62	10	7	0	1	0	0	2	6	1	1	6	0	0	1	N
*O(CCCCCC$3/6)OC	62	38	9	7	2	0	0	0	0	6	1	1	6	0	0	1	O
*N*	61	44	1	0	0	1	0	0	0	0	0	0	-	0	0	0	N
*NC(CCCCNC$4)	60	60	8	6	0	2	0	0	0	6	1	1	6	0	0	1	N
*NCN(CCCCCC$5/8)OCO($7)/3=O	60	60	13	8	3	2	0	0	0	6	2	1	5,6	1	0	1	N
*OCCCCCCCCC/3=O	59	40	11	9	2	0	0	0	0	0	0	0	-	1	1	9	O
*(CCCCCC$2/6)NSC/9=O/9=O(/3)O*	58	58	12	7	3	1	1	0	0	6	1	1	6	0	0	1	C
*NCC/3C	58	57	4	3	0	1	0	0	0	0	0	0	-	0	0	3	N
*NCN(CCCCCC$5/6)OC/3=O	58	58	12	8	2	2	0	0	0	6	1	1	6	1	0	1	N
*NS(CCCCCC$4/5)F/3=O/3=O	58	58	11	6	2	1	1	0	1	6	1	1	6	0	0	0	N
*OCCCC=^ZCCC=^ZCCC=^ZCCC=^ZCCC=^ZCCC=^ZCCC/3=O	58	53	24	22	2	0	0	0	0	0	0	0	-	1	1	22	O
*NC(CCCNCN$4)	57	51	8	5	0	3	0	0	0	6	1	1	6	0	0	1	N
*NS(CCCCCC$4/7)OC/3=O/3=O	56	56	12	7	3	1	1	0	0	6	1	1	6	0	0	1	N
*NCCCC(CCCCCC$7)/5CC$2	55	41	13	12	0	1	0	0	0	6	2	1	6,6	0	0	1	N
*NC(CCCCCN$4)/3=O	54	54	9	6	1	2	0	0	0	6	1	1	6	1	0	1	N
*NCC(CCCCNC$5)/3=O	54	54	10	7	1	2	0	0	0	6	1	1	6	1	0	2	N
*NCCF/4F/4F	54	54	6	2	0	1	0	0	3	0	0	0	-	0	0	2	N
*N(CNCCS$3)	53	34	6	3	0	2	1	0	0	5	1	1	5	0	0	0	N
*NC(CCCCCC$4/6)F/3=O	53	53	10	7	1	1	0	0	1	6	1	1	6	1	0	1	N
*OCCCCCCC=^ZCCC=^ZCCC=^ZCCC=^ZCCCCCC/3=O	52	45	24	22	2	0	0	0	0	0	0	0	-	1	1	22	O
*CC	51	38	2	2	0	0	0	0	0	0	0	0	-	0	0	2	C
*1O(CCCCCC$3/6)NCC(CCCCS$12/4)CN*2/18C/17=O/10=O	48	48	20	14	3	2	1	0	0	11	2	2	5,6	2	0	2	O
*OC=^ZCCCCCCCCCCCCCCCCC	48	48	19	18	1	0	0	0	0	0	0	0	-	0	0	18	O
*OCCCCCC=^ZCCC=^ZCCC=^ZCCC=^ZCCC/3=O	48	48	20	18	2	0	0	0	0	0	0	0	-	1	1	18	O
*N(CCCCCC$3)	47	44	7	6	0	1	0	0	0	6	1	1	6	0	0	0	N
*NCN(CCCCCC$5/6)F/3=O	47	47	11	7	1	2	0	0	1	6	1	1	6	1	0	1	N
*OCCN	46	39	4	2	1	1	0	0	0	0	0	0	-	0	0	2	O
*NC(CCCNCC$4)/3=O	45	45	9	6	1	2	0	0	0	6	1	1	6	1	0	1	N
*NCNCCC/3=O	45	45	7	4	1	2	0	0	0	0	0	0	-	1	0	3	N
*NC(CCCCCC$4/7)F	44	33	9	7	0	1	0	0	1	6	1	1	6	0	0	1	N
*NSCC/3=O/3=O	44	44	6	2	2	1	1	0	0	0	0	0	-	0	0	2	N
*OC=^ZCCCCCCCCCCCCCCC	44	44	17	16	1	0	0	0	0	0	0	0	-	0	0	16	O
*NCN(CCCCCC$5/8)OC/3=O	43	43	12	8	2	2	0	0	0	6	1	1	6	1	0	1	N
*NS(CCCCCC$4/7)Cl/3=O/3=O	43	43	11	6	2	1	1	0	1	6	1	1	6	0	0	0	N
*NSC(CCCCCC$5)/3=O/3=O	43	43	11	7	2	1	1	0	0	6	1	1	6	0	0	1	N
*OCCCCCCCCCCCCCCCCCCCCCC/3=O	43	43	24	22	2	0	0	0	0	0	0	0	-	1	1	22	O
*1O(CCCCCC$3/6)NS(CCCCCC$11/4)*2/10=O/10=O	42	42	17	12	3	1	1	0	0	12	2	2	6,6	0	0	0	O
*NC(CCCCCC$4/8)F(/6)F	42	37	10	7	0	1	0	0	2	6	1	1	6	0	0	1	N
*NC(CCCCCCCCCC$8/7CC$4)	42	41	14	13	0	1	0	0	0	12	2	2	6,6	0	0	1	N
*NCC/3C/3C	42	41	5	4	0	1	0	0	0	0	0	0	-	0	0	3	N
*NCCCCCCC$4/3=O	42	42	9	7	1	1	0	0	0	0	1	0	6	1	0	1	N
*S(CCCCCC$3)	42	34	7	6	0	0	1	0	0	6	1	1	6	0	0	0	S
*1O(CCCCCC$3/6)NCN(CCCCCC$12/15)F/10=O(/4)*2	41	41	18	13	2	2	0	0	1	12	2	2	6,6	1	0	1	O
*NC^SCNC(CCCCCC$7)/5CC$3	41	29	13	11	0	2	0	0	0	6	2	1	5,6	0	0	1	N
*OC=^ZCCCCCCCC=^ZCCCCCCCCC	41	41	19	18	1	0	0	0	0	0	0	0	-	0	0	18	O
*OC=^ZCCCCCCCCCC=^ZCCCCCCC	41	41	19	18	1	0	0	0	0	0	0	0	-	0	0	18	O
*NC(CCCCCC$4/8)Cl(/6)Cl/3=O	40	40	11	7	1	1	0	0	2	6	1	1	6	1	0	1	N
*NCN/3=N	40	17	4	1	0	3	0	0	0	0	0	0	-	0	0	1	N
*NC^RCNC(CCCCCC$7)/5CC$3	40	27	13	11	0	2	0	0	0	6	2	1	5,6	0	0	1	N
*NS(CCCCCC$4/5)OC/3=O/3=O	40	40	12	7	3	1	1	0	0	6	1	1	6	0	0	1	N
*OCCCC=^ZCCC=^ZCCC=^ZCCC=^ZCCC=^ZCCCCCC/3=O	40	35	24	22	2	0	0	0	0	0	0	0	-	1	1	22	O
*OCCCCCCC=^ZCCC=^ZCCC=^ZCCC=^ZCCC=^ZCCC/3=O	40	35	24	22	2	0	0	0	0	0	0	0	-	1	1	22	O
*OCCCCCCCCCCCCC=^ZCCC=^ZCCCCCC/3=O	40	40	24	22	2	0	0	0	0	0	0	0	-	1	1	22	O
*1O(CCCCCC$3/6)NCN(CCCCCC$12/4)*2/10=O	39	39	17	13	2	2	0	0	0	12	2	2	6,6	1	0	1	O
*(CCCCCC$2/6)O(/5)O(/4)O	38	26	9	6	3	0	0	0	0	6	1	1	6	0	0	0	C
*OP^XOCC^RC^SCC^RC^R$5/10O/9O/8O/7O/6O/3O/3=O	38	38	16	6	9	0	0	1	0	0	1	0	6	0	0	0	O
*1O(CCCCCC$3/6)NSCC/10=O/10=O(/4)CN*2/16C/15=O	37	37	17	10	4	2	1	0	0	6	1	1	6	1	0	2	O
*OPO*/3O/3=O	37	27	5	0	4	0	0	1	0	0	0	0	-	0	0	0	O
*NCN(CCCCCC$5/7)OC/3=O	36	36	12	8	2	2	0	0	0	6	1	1	6	1	0	1	N
*O(CCCCCC$3/4)OC	36	36	9	7	2	0	0	0	0	6	1	1	6	0	0	1	O
*OC(CCCCCC$4)/3(CCCCCC$10)/3(CCCCCC$16/13)OC(/7)OC	36	32	24	21	3	0	0	0	0	18	3	3	6,6,6	0	0	1	O
*OCCC/4C	36	35	5	4	1	0	0	0	0	0	0	0	-	0	0	3	O
*SC(CCCCCC$4)	36	36	8	7	0	0	1	0	0	6	1	1	6	0	0	1	S
*NS(CCNCN$4/6)C/3=O/3=O	35	35	10	4	2	3	1	0	0	5	1	1	5	0	0	1	N
*SCC	35	34	3	2	0	0	1	0	0	0	0	0	-	0	0	2	S
*O(CCCCCC$3/6)N	34	32	8	6	1	1	0	0	0	6	1	1	6	0	0	0	O
*OCCCCC=^ZCCC=^ZCCC=^ZCCC=^ZCCC=^ZCCC/3=O	34	34	22	20	2	0	0	0	0	0	0	0	-	1	1	20	O
*PO/2O/2=O	33	16	4	0	3	0	0	1	0	0	0	0	-	0	0	0	P
*NC(CCCCCC$4/5)Cl	32	16	9	7	0	1	0	0	1	6	1	1	6	0	0	1	N
*NCCNCCCC$5	32	28	8	6	0	2	0	0	0	0	1	0	5	0	0	2	N
*NCCOC/3=O	32	32	6	3	2	1	0	0	0	0	0	0	-	1	0	2	N
*NCN(CCCCCC$5/7)F/3=O	32	32	11	7	1	2	0	0	1	6	1	1	6	1	0	1	N
*NCN(CCCCCC$5/8)F/3=O	32	32	11	7	1	2	0	0	1	6	1	1	6	1	0	1	N
*NS(CCCCCC$4/6)OC/3=O/3=O	32	32	12	7	3	1	1	0	0	6	1	1	6	0	0	1	N
*OPOPO/5O/5=O/3O/3=O	32	29	9	0	7	0	0	2	0	0	0	0	-	0	0	0	O
*1O(CCCCCC$3/6)NCNCCCCCC$12/10=O(/4)*2	31	31	17	13	2	2	0	0	0	6	2	1	6,6	1	0	1	O
*1O(CCCCCC$3/6)NSC/10=O/10=O(/4)CN*2/15C/14=O	31	31	16	9	4	2	1	0	0	6	1	1	6	1	0	1	O
*NCCCCC$3	31	29	6	5	0	1	0	0	0	0	1	0	5	0	0	0	N
*NCN(CCCCCC$5/8)Cl/3=O	31	31	11	7	1	2	0	0	1	6	1	1	6	1	0	1	N
*OCCCCCCC/3=O	31	31	9	7	2	0	0	0	0	0	0	0	-	1	1	7	O
*1OC^RO*2/3CO/6=O/3C	30	11	7	3	4	0	0	0	0	0	0	0	-	1	1	3	O
*NCCC^ROCCCCCCCCCCCC/7=O/5CCCCCCCCCCC/3=O	30	5	30	26	3	1	0	0	0	0	0	0	-	2	1	14	N
*NCCNC/5C/3=O	30	30	7	4	1	2	0	0	0	0	0	0	-	1	0	2	N
*NCNCCCCCC$5/3=O	30	30	10	7	1	2	0	0	0	0	1	0	6	1	0	1	N
*OCCCCCCCCCCCCC=^ZCCCCCCCCC/3=O	30	30	24	22	2	0	0	0	0	0	0	0	-	1	1	22	O
*OCCC^ROCCCCCCCCCCCCCC/7=O/5CCCCCCCCCCC/3=O	30	5	32	28	4	0	0	0	0	0	0	0	-	2	2	14	O
*OPOC/3O/3=O	30	1	6	1	4	0	0	1	0	0	0	0	-	0	0	1	O
*NCN(CCCCCC$5)/3=O	29	29	10	7	1	2	0	0	0	6	1	1	6	1	0	1	N
*NCN/3=O	28	28	4	1	1	2	0	0	0	0	0	0	-	1	0	1	N
*NS(CCCCCC$4/6)Cl/3=O/3=O	28	28	11	6	2	1	1	0	1	6	1	1	6	0	0	0	N
*O(CCCCCC$3/6)C	28	28	8	7	1	0	0	0	0	6	1	1	6	0	0	1	O
*NS(CCCCCC$4/5)Cl/3=O/3=O	27	27	11	6	2	1	1	0	1	6	1	1	6	0	0	0	N
*OCCCCCCCCCCCCCCCCC/3=O	27	27	19	17	2	0	0	0	0	0	0	0	-	1	1	17	O
*OP^XOPO/5O/5=O/3O/3=O	27	21	9	0	7	0	0	2	0	0	0	0	-	0	0	0	O
*OPOPOPO/7O/7=O/5O/5=O/3O/3=O	26	23	13	0	10	0	0	3	0	0	0	0	-	0	0	0	O
*(CCCCCC$2/5)OC(/4)OC	25	24	10	8	2	0	0	0	0	6	1	1	6	0	0	1	C
