map	glycans	rescodes	nAtom	nC	nO	nN	nS	nP	nHal	nAromAtom	nRing	nAromRing	ringSizes	nCarbonyl	nEsterC	maxChainC	attach
*CNCC^SO(CCCCCCCCCC$11/10CN$7/12)OC(/8)CNC^SCO/23C/22CC^R$5/28C/21=O/3C	1	1	30	23	4	3	0	0	0	12	3	2	6,6,8	1	0	3	C
*CNCC^SO(CCCCCCCCCC$11/10CN$7/12)OC(/8)CNC^SCO/23C/22CC^S$5/28C/21=O/3C	1	1	30	23	4	3	0	0	0	12	3	2	6,6,8	1	0	3	C
*CNCC^SO(CCCCCCCCCC$11/10CN$7/13)F(/8)CNC^RCO/22C/21CC^R$5/27C/20=O/3C	1	1	29	22	3	3	0	0	1	12	3	2	6,6,8	1	0	3	C
*CNCC^SO(CCCCCCCCCC$11/10CN$7/13)F(/8)CNC^RCO/22C/21CC^S$5/27C/20=O/3C	1	1	29	22	3	3	0	0	1	12	3	2	6,6,8	1	0	3	C
*CNCC^SO(CCCCCCCCCC$11/10CN$7/13)F(/8)CNC^SCO/22C/21CC^R$5/27C/20=O/3C	1	1	29	22	3	3	0	0	1	12	3	2	6,6,8	1	0	3	C
*CNCC^SO(CCCCCCCCCC$11/10CN$7/13)F(/8)CNC^SCO/22C/21CC^S$5/27C/20=O/3C	1	1	29	22	3	3	0	0	1	12	3	2	6,6,8	1	0	3	C
*CNCC^SO(CCCCCCCCCCC$12/11C$7/13)OC(/8)SNC^RCO/23C/22CC^R$5/28C/21=O/21=O/3C	1	1	31	23	5	2	1	0	0	12	3	2	6,6,8	0	0	3	C
*CNCC^SO(CCCCCCCCCCC$12/11C$7/13)OC(/8)SNC^RCO/23C/22CC^S$5/28C/21=O/21=O/3C	1	1	31	23	5	2	1	0	0	12	3	2	6,6,8	0	0	3	C
*CNCC^SO(CCCCCCCCCCC$12/11C$7/13)OC(/8)SNC^SCO/23C/22CC^R$5/28C/21=O/21=O/3C	1	1	31	23	5	2	1	0	0	12	3	2	6,6,8	0	0	3	C
*CNCC^SO(CCCCCCCCCCC$12/11C$7/13)OC(/8)SNC^SCO/23C/22CC^S$5/28C/21=O/21=O/3C	1	1	31	23	5	2	1	0	0	12	3	2	6,6,8	0	0	3	C
*CNCC^SO(CCCCCCCCCCC$12/11C$7/14)OC(/8)SNC^RCO/23C/22CC^R$5/28C/21=O/21=O/3C/2=O	1	1	32	23	6	2	1	0	0	12	3	2	6,6,8	1	0	3	C
*CNCC^SO(CCCCCCCCCCC$12/11C$7/14)OC(/8)SNC^RCO/23C/22CC^S$5/28C/21=O/21=O/3C/2=O	1	1	32	23	6	2	1	0	0	12	3	2	6,6,8	1	0	3	C
*CNCC^SO(CCCCCCCCCCC$12/11C$7/14)OC(/8)SNC^SCO/23C/22CC^R$5/28C/21=O/21=O/3C/2=O	1	1	32	23	6	2	1	0	0	12	3	2	6,6,8	1	0	3	C
*CNCC^SO(CCCCCCCCCCC$12/11C$7/14)OC(/8)SNC^SCO/23C/22CC^S$5/28C/21=O/21=O/3C/2=O	1	1	32	23	6	2	1	0	0	12	3	2	6,6,8	1	0	3	C
*CNCC^SO(CCCCCCCCCNC$12/11C$7/8)SNC^RCO/21C/20CC^R$5/26C/19=O/19=O/3C	1	1	29	21	4	3	1	0	0	12	3	2	6,6,8	0	0	3	C
