rescode	glycans	smiles
h1221m_2*NCC/3=O	2	C([C@H]([C@@H]([C@@H]([C@H](C)O)O)O)NC(C)=O)O
h2112h_1-5_2*NCC/3=O	2	C1[C@@H]([C@H]([C@H]([C@@H](CO)O1)O)O)NC(C)=O
h2112m	2	C([C@@H]([C@H]([C@H]([C@@H](C)O)O)O)O)O
h2122h_1-5_2*NSO/3=O/3=O	2	C1[C@@H]([C@H]([C@@H]([C@@H](CO)O1)O)O)NS(O)(=O)=O
h2122h_2*NSO/3=O/3=O_6*OSO/3=O/3=O	2	C([C@@H]([C@H]([C@@H]([C@@H](COS(O)(=O)=O)O)O)O)NS(O)(=O)=O)O
h2122h_3*OC_4*OC	2	C([C@@H]([C@H]([C@@H]([C@@H](CO)O)OC)OC)O)O
h2122h_3*OPO/3O/3=O	2	C([C@@H]([C@H]([C@@H]([C@@H](CO)O)O)OP(O)(O)=O)O)O
h2122h_4*N	2	C([C@@H]([C@H]([C@@H]([C@@H](CO)O)N)O)O)O
h222h_1*OPO/3O/3=O	2	C([C@@H]([C@@H]([C@@H](CO)O)O)O)OP(O)(O)=O
h22m	2	C([C@@H]([C@@H](C)O)O)O
h22m_2*NCC/3=O	2	C([C@@H]([C@@H](C)O)NC(C)=O)O
h2h_2*OC_3*OC	2	C([C@@H](COC)OC)O
hxh_1*OCC/3=O_2*OCC/3=O	2	C(C(CO)OC(C)=O)OC(C)=O
A111h	1	C([C@H]([C@H]([C@H](CO)O)O)O)(=O)O
A111h_1*N_5*OPO/3O/3=O	1	C([C@H]([C@H]([C@H](COP(O)(O)=O)O)O)O)(=O)N
A1121h_6*OPO/3O/3=O	1	C([C@H]([C@H]([C@@H]([C@H](COP(O)(O)=O)O)O)O)O)(=O)O
A1122A	1	C([C@H]([C@H]([C@@H]([C@@H](C(=O)O)O)O)O)O)(=O)O
A112h	1	C([C@H]([C@H]([C@@H](CO)O)O)O)(=O)O
A11h_4*OPO/3O/3=O	1	C([C@H]([C@H](COP(O)(O)=O)O)O)(=O)O
A1211h	1	C([C@H]([C@@H]([C@H]([C@H](CO)O)O)O)O)(=O)O
A1212A	1	C([C@H]([C@@H]([C@H]([C@@H](C(=O)O)O)O)O)O)(=O)O
A121h	1	C([C@H]([C@@H]([C@H](CO)O)O)O)(=O)O
A1222A	1	C([C@H]([C@@H]([C@@H]([C@@H](C(=O)O)O)O)O)O)(=O)O
A1222h	1	C([C@H]([C@@H]([C@@H]([C@@H](CO)O)O)O)O)(=O)O
A122h_1*OC	1	C([C@H]([C@@H]([C@@H](CO)O)O)O)(=O)OC
A122h_5*OPO/3O/3=O	1	C([C@H]([C@@H]([C@@H](COP(O)(O)=O)O)O)O)(=O)O
A12A	1	C([C@H]([C@@H](C(=O)O)O)O)(=O)O
A12h_2*N	1	C([C@H]([C@@H](CO)O)N)(=O)O
A12h_2*N_4*OPO/3O/3=O	1	C([C@H]([C@@H](COP(O)(O)=O)O)N)(=O)O
A12h_4*OPO/3O/3=O	1	C([C@H]([C@@H](COP(O)(O)=O)O)O)(=O)O
A2112A	1	C([C@@H]([C@H]([C@H]([C@@H](C(=O)O)O)O)O)O)(=O)O
A2112h	1	C([C@@H]([C@H]([C@H]([C@@H](CO)O)O)O)O)(=O)O
A2112h_2*N	1	C([C@@H]([C@H]([C@H]([C@@H](CO)O)O)O)N)(=O)O
A2112h_2*NCC/3=O	1	C([C@@H]([C@H]([C@H]([C@@H](CO)O)O)O)NC(C)=O)(=O)O
A2112h_4*NCC/3=O_5*NCC/3=O	1	C([C@@H]([C@H]([C@H]([C@@H](CO)NC(C)=O)NC(C)=O)O)O)(=O)O
A211h	1	C([C@@H]([C@H]([C@H](CO)O)O)O)(=O)O
A211h_1*N_5*OPO/3O/3=O	1	C([C@@H]([C@H]([C@H](COP(O)(O)=O)O)O)O)(=O)N
A211h_1*OC	1	C([C@@H]([C@H]([C@H](CO)O)O)O)(=O)OC
A211h_5*OPO/3O/3=O	1	C([C@@H]([C@H]([C@H](COP(O)(O)=O)O)O)O)(=O)O
A2121A	1	C([C@@H]([C@H]([C@@H]([C@H](C(=O)O)O)O)O)O)(=O)O
A2122A	1	C([C@@H]([C@H]([C@@H]([C@@H](C(=O)O)O)O)O)O)(=O)O
A2122A_2*NCC/3=O_3*NCC/3=O	1	C([C@@H]([C@H]([C@@H]([C@@H](C(=O)O)O)O)NC(C)=O)NC(C)=O)(=O)O
A2122h_1*N	1	C([C@@H]([C@H]([C@@H]([C@@H](CO)O)O)O)O)(=O)N
A2122h_2*N_6*OPO/3O/3=O	1	C([C@@H]([C@H]([C@@H]([C@@H](COP(O)(O)=O)O)O)O)N)(=O)O
A2122h_2*OC	1	C([C@@H]([C@H]([C@@H]([C@@H](CO)O)O)O)OC)(=O)O
